instruction,input,output
"A person is accused of committing a crime that is not punishable by death, life imprisonment, or permanent expulsion from the country. What laws apply?",املادة (94) تُطبق قواعد الوضع تحت املراقبة اإللكترونية على الجرائم املنصوص علي ا في اذا املرسوم بقانون، وذلك وفق الضوابط واإلجراءات الل  يصدر بتحديداا قرار من مجلس الوزراء بناءً على اقتراح رئيس مجلس مكافحة املخدرات املنصوص عليه في املادة 3) من اذا املرسوم بقانون، وذلك فيما عدا الجرائم املعاقب علي ا باإلعدام أو السجن املؤبد أو الجرائم الل أوجب القانون الحكم في ا بتدبير اإلبعاد.,"According to Article 94, the rules of procedure under electronic surveillance apply to crimes specified in the law if they are committed without a presidential decree. This means that the case will be handled according to the procedures outlined in Article 3 of the law, unless it is punishable by death, life imprisonment, or permanent expulsion from the country (Article 94)."
,,
What are the consequences if someone tries to bring certain products into the country?,"AMLADA (96) 
ال يعد جلبًا أو استيرادًا أو نقالً أو حيازةً أو إحرازًا معاقب عليه، ما يوجد مع القادم من الخارج من األطعمة أو
املشروبات أو أية منتجات يدخل في تركيب ا املواد املخدرة أو املؤثرات العقلية الواردة في البند رقم ( 29 ) 
30 
مرسوم بقانون اتحادي في شأن مكافحة املواد املخدرة واملؤثرات العقلية 
من الجدول رقم ( 1) ( والبند رقم8  ) من القسم الان  من الجدول رقم ( 4) ( والبند34) من الجدول رقم (5) ( والبند رقم4) من الجدول رقم (6) املرفقة ب ذا املرسوم بقانون، بقصد التعاط  أو االستعمال الخخ ن 
عند ضبطه ألول مرة لدى منافذ الدخول املعتمدة للدولة. 
في جميع األحوال يحرر محضر إداري إلثبات ضبط تلك املنتجات وتتوإى الجهات املختصة حجزاا إداري ا و اتخاذ التدابير الالزمة للحيلولة دون تسرب ا داخل الدولة، على أن يتم إعدامها وفقًا للقواعد املنصوص علي ا في اذا املرسوم بقانون.","According to AMLADA (96), if someone tries to bring certain products, such as food or drinks, into the country with the intention of using them for personal use or trafficking, they will be subject to penalties. The specific consequences depend on the type and quantity of the products brought in, as well as any prior offenses. Article 96 of AMLADA is clear that even a single attempt to bring such products into the country can result in administrative detention, seizure of the products, and other necessary measures to prevent their entry into the country."
"A court has to investigate a crime where the prosecution's witnesses testify that a defendant committed the crime, and there was no defense presented.",املادة (97) مع عدم اإلخالل بحقوق الدفاع، للمحكمة عند نظر إحدى الجرائم املنصوص علي ا في اذااملرسوم بقانون أن تستند في حكمها إإى ما أدإى به الشهود في تحقيقات النيابة العامة، ملى اطمأنت إإى اذه الشهادة، وذلك دون حاجة الستدعاء الشااد أو الشهود لسماع شهادة مرة أخرى.,"According to Article 97, the court can rely on the prosecution's witnesses' testimonies and convict the defendant without calling additional witnesses or the defendant for re-examination, as long as they are convinced by the initial testimony. (Article 97)"
,,
"What is the effect of issuing a new federal law (99) that repeals the existing federal law (14) of 1995, and what are the consequences for previous regulations and decisions made under the repealed law?",املادة (99) يلغى القانون االتحادي رقم ( 14 ) لسنة1995 . 암لشار إليه ويستمر العمل باللوائح والقرارات الصادرة تنفيذًا له إإى حين التعديل علي ا أو إلغائ ا، وذلك إإى املدى الذي ال تتعارو مع أحكام اذا املرسوم بقانون. 31 مرسوم بقانون اتحادي في شأن مكافحة املواد املخدرة واملؤثرات العقلية,"Based on Article (99), the effect is that the existing federal law (14) of 1995 is repealed, and all previous regulations and decisions made under this law will continue to be enforced until they are amended or replaced. This applies as long as the new law does not contradict the provisions of the repealed law, according to Article (31)."
What happens when a decree is published in the official gazette?,"AMLADA (100) ينشر إذا أملرسوم بقانون في الجريدة الرسمية، ويعمل به اعتبارًا من 02 يناير2022 . وعلى الوزراء والسلطات المختصة في الإمارات لتنفيذ إذا أملرسوم بقانون.

خليفة بن زايد آل نهيان
رئيس دولة الإمارات العربية المتحدة
__________________________
:صدر عنا في قصر الرئاسة في أبو ظبي
بتاريخ: 9/ /صفر 1443هـ 
الموافق: 16/ /سبتمبر 2021م ","According to AMLADA (100), when a decree is published in the official gazette, it will be enforced starting from January 2nd, 2022. The concerned ministers and authorities in the UAE must implement this decree. (Article 100 of the United Arab Emirates' Law)"
,,
,,
A person finds an unknown child and what are their responsibilities?,AMLADA (3) 1. الاجراءات الواجب اتباعها عند العثور على طفل مجهول النسب 1. مسؤولية الشخص الذي يعثر على طفل مجهول النسب أ. على الشخص إبالغ أقرب مركز شرطة أو تسليمه خالل مدة ال تتجاوز 24 ساعة، مع املالبس التي كانت عليه، وجميع الأشياء الأخرى التي وجدها معه، أو بالقرب منه، وعليه تحديد الساعة والتاريخ وملكان الذي عثر فيه على الطفل. ب. إذا تبين أن الطفل في حالة يخشى منها على حياته وسالمته يجب على الشخص الذي عثر عليه إعلام مركز الشرطة بالحالة فورًا، ويستفسار بما يجب عليه القيام به.,"As the person who found the unknown child, I should immediately inform the nearest police station or hand over the child within 24 hours, along with any belongings and information about my discovery. If the child is in a life-threatening situation, I should notify the police immediately and ask what I need to do (AMLADA Article 3, Section 1)."
,,
,,
,,
,,
,,
,,
"What steps should the Ministry take to ensure the housing allowance for families with high-need relatives, according to Law Article 10?",املادة (10) تعملالوزارة بالتنسيق مع وزارة الداخلية على تأمين أسر حاضنة ملجهولي النسب ممن تتوافر فيها الشروط التي منصوص عليها في القانون، ويكون التنسيق عن طريق لجنة األسر الحاضنة وفقًا ملا تنص عليه الشروط الواردة بالقانون والالئحة التنفيذية وبالتعاون مع الجهات المٌنية والمختصة.,"To ensure the housing allowance for families with high-need relatives, I recommend that the Ministry work in coordination with the Ministry of Interior. According to Law Article 10, this coordination should be done through a committee responsible for family affairs, following the guidelines outlined in the law and its executive regulations, and in collaboration with relevant and concerned parties."
I want to adopt an unknown-origin child and I'm not sure what documents are required. Can you help me?,"AMLADA (11) 
 األسرة التي ترغب في حضانة طفل مجهول النسب أن تتقدم بطلب إلى الوزارة وفق النموذج المعد مرفقًا به
املستندات اآلتية: 
1. صورة من بطاقة الهوية.
2. صورة من خالصة القيد.
3. صورة من جواز السفر للزوج والزوجة.
4. صورة من وثيقة الزواج أو إثبات الزواج واستمراريته.
5.  شهادة راتب من جهة عمل الزوج أو الزوجة- إن كانت تعمل- أو إقرار بدخل الأسرة موقع عليه من قبل الزوج.
6. شهادة حسن السيرة والسلوك للزوج والزوجة.
7. صورة من المأهل العلمي للزوج والزوجة.
8. ملكية المنزل أو صورة عن عقد الإليجار.
9. شهادة خلو من الأمراض المعدية للزوج والزوجة.
10. صورة شخصية للزوج والزوجة.
 ( قرار وزاري رقم 368 ) لسنة2014 في شأن الالئحة التنفيذية للقانون الاتحادي رقم ( 1 ) لسنة2012 في شأن الأطفال مجهولي النسب
","To adopt an unknown-origin child, I need to submit a request to the ministry with the required documents. According to article 11 of the law, I need to provide: identification card photo, registration extract photo, travel document photos for my spouse and myself, marriage certificate or proof of marital status, employment certificate or proof of income, good behavior certificates for my spouse and me, educational qualifications photos for my spouse and me, property ownership documents or rental agreement, and health certificates. I will also need to submit a personal photo of my spouse and me. If approved, the child will be given to us on a temporary basis for six months, which can be extended for another six months based on periodic reports."
,,
,,
,,
,,
"As a social researcher, I am responsible for conducting regular visits to the families being researched, with the aim of ensuring their well-being and meeting their basic needs. What steps can I take to fulfill this responsibility?","'املادة (16) ( مع مراعاة الضوابط الواردة في املادة 15 ) من هذه الالئحة: 
1.  على الباحث االجتماعي املختص القيام بالزيارات امليدانية للمحضون بهدف االطمئنان على أوضاعه
باألسرة، ومدى توفير احتياجاته املعيشية والتعليمية والصحية وتقديم تقرير عن نتائج املتابعة ورفعه إلى 
اللجنة.
2.  على األسرة الحاضنة القيام بواجباتها لتسهيل مهمة الباحث وتزويده باملعلومات الالزمة، وإتاحة الفرصة
له لاللتقاء باملحضون واالطمئنان على أوضاعه.'","As a social researcher, I can fulfill my responsibility by conducting regular visits to the families being researched, ensuring their well-being and meeting their basic needs. According to Article 16, I must submit a report on the progress of the research and raise it to the committee (AMLADA 16). Additionally, I should ensure that the hosting family is aware of their responsibilities and provides me with the necessary information to facilitate my work (Article 16, clause 2)."
,,
What are the responsibilities of the President of a committee?,"AMLADA (18) 
1. أنيكون للجنة رئيسًا ونائبًا للرئيس ومقررًا . 
2. يتولى الرئيس رئاسة اجتماعات اللجنة واعتماد جدول أعمالها وتمثيلها أمام الجهات ذات العالقة.
3. إذا تغيب رئيس اللجنة تولى نائب الرئيس مهامه.
4. تكون للجنة سكرتارية تتولى طباعة محاضر االجتماعات واملراسالت وتوجيه الدعوة لألعضاء وإخطارهم 
bجدول أعمال وأرشفة الوثائق واملراسالت.
5. مقرر اللجنة هو املسؤول عن متابعة وتنفيذ قرارات وتوصيات اللجنة ويقوم بعمله تحت إشراف رئيس
اللجنة وبمساعدة السكرتارية، ومن مهامه التحضير الفني واإلداري النعقاد جلسات اللجنة وإعداد جدول 
alعمال وإعداد التقر ير الدوري عن اللجنة، تهيئة الوثائق والبحوث والدراسات املتعلقة باملوضوعات 
AMLADA","According to article 2 of AMLADA (18), the President of a committee is responsible for leading meetings, approving agendas and minutes, and representing the committee before relevant authorities. This suggests that the President plays a key role in guiding the committee's work and ensuring its decisions are implemented."
,,
,,
"A social worker has been monitoring a foster family that has been neglecting their duties towards the child, causing slight harm to the child's health and emotional well-being. The social worker has tried to raise awareness with the family, but they continue to neglect their responsibilities. What should be done?","AMLADA (21) إذا ثبت أن األسرة الحاضنة قد أخلت بالتزاماتها تجاه املحضون خلالً بسيطًا أو أن ضررًا بسيطًا لحق به سواء من الناحية الصحية أو األخالقية أو التعليمية أو النفسية تتخذ الوزارة اإلجراءات التالية: 1. لفت نظر األسرة بعدم تكرار ذلك. 2. توعية األسرة بأهمية الحفاظ على املحضون وتجنيبه الضرر من خالل الزيارات الميدانية المكثفة، والتأكد من استجابة األسرة للفت النظر. 3. في حال تكرر اإلخالل من األسرة بعد توجيه لفت النظر إليها يتم توجيه إنذار إليها بضرورة الوفاء بالتزاماتها حوال املحضون. 4. إذا لم تستجب األسرة بعد الإنشور يتم إحالة الموضوع إلى اللجنة التخاذ التوصية الملائمة وفقًا للتدابير التالية: أ. إيقاف املساعدة عن الحاضن في حال حصوله على مساعدة ملدة ال تتجاوز ""6"" أشهر. ب. نقل الطفل مؤقتًا إلى الدار أو أسرة حاضنة ملدة ال تتجاوز ""3"" أشهر. ج. إنهاء احتضان األسرة للمحضون وتتولى اللجنة البحث عن أسرة حاضنة مناسبة أو إيداعه في إحدى الدور.","As the situation is not improving, I recommend that we issue a warning to the foster family (Article 3). If they still do not comply with their responsibilities towards the child, I suggest that we refer the case to the committee for further action (Article 4), which may include suspending the assistance provided to the child (Option أ) or temporarily placing the child in a new foster home or institution (Option ب or ج). This is based on AMLADA Article 21."
"What can be done if a custodian has neglected their duties towards the child in a significant or substantial manner, causing harm to the child's physical, emotional, psychological, educational, or overall well-being?","AMLADA (22) 
 إذا ثبت أن األسرة الحاضنة قد أخلت بالتزاماتها تجاه املحضون إخالالًجسيمًا أو أن ضررًا جسيمًا لحق به 
 سواء من الناحية الصحية أو الجسدية أو األخالقية أو التعليمية أو النفسية يصدر الوزير بناء على توصية 
 اللجنة قرارًا باسترداد املحضون من األسرة الحاضنة دون أن يكون له حق االعتراض على ذلك، وتتولى اللجنة 
 في هذه الحالة البحث عن أسر ة حاضنة مناسبة واتخاذ اإلجراءات القانونية الالزمة.","According to AMLADA article 22, if it is proven that the custodian has neglected their duties towards the child in a significant or substantial manner, causing harm to the child's physical, emotional, psychological, educational, or overall well-being, the Minister shall issue a decision, upon the committee's recommendation, to withdraw the child from the custodian without giving them the right to object. The committee will then search for a suitable new custodian and take necessary legal measures."
A person X threatens to kill Y's family if Y doesn't give him money. What is the consequence for X?,"املادة (23) يعد خلالً وضررًا جسيمًا كل من أساء إلى املحضون بالقول الجارح أو الفعل العنيف، أو قام بتهديده، أو انتهك حقوقه الأسلامية والسيما حقه في الغذاء وامللبس والتعليم والصحة، أو مارس العنف ضده، أو غاب عنه أو أهمله كليًّا على النحو الذي يمثل خطرًا على حياته ويعرض أمنه وسالمته ومستقبله للخطر، أو شجعه على ممارسة الأعمال المنافية لآلداب والنظام العام، أو زين له الأعمال اللباحية، أو تحرش به، أو مارس أي نوع من أنواع الاستغالل الجنس والقتصادي معه، أو شجعه أو سمح له بتعاطي المخدرات أو شرب الكحوليات.
الفصل الثامن انتهاء متابعة الملحقون.","According to Article 23 of the law, threatening Y's family is considered a severe harm or offense. This constitutes a serious violation of human rights and puts Y's life, safety, and future at risk (amlada 23). The consequence for X is severe punishment."
What are the circumstances under which custody of a child may be terminated?,"املادة (24) (مع مراعاة أحكام املادة10 ) من القانون تنتهي رعاية الدار أو األسرة الحاضنة للطفل املحضون في الحاالت
1. ثبوت بنوة مجهول النسب.
2. وفاة املحضون.
3. وفاة الحاضن وعدم وجود شخص في األسرة الحاضنة تتوافر فيه الشروط الواجبة للحضانة .
4. ثبوت الخلل أو الضرر الجسيم بحق املحضون.
5. فقدان أي من المعلقات المنسوبة عليها في المادة 13.
6. في حال الحكم على أي من الزوجين بالحبس أو السجن في أي من القضايا المختلة بالشرف أو الأمانة.
7. ثبوت عدم قدرة األسرة على الوفاء بالتزاماتها تجاه املحضون.
8. إذا غاب الحاضن غيبة طويلة وفقا ملا تراها وتقدرها اللجنة.
9. إذا طلبت األسرة الحاضنة التخلي عن الحضانة.
10.","The custody of a child may be terminated in the following circumstances: according to Article 24, if it is proven that the child has unknown parents (Article 1), or if the child's parent has passed away (Article 2), or if the guardian has passed away and there is no one else in the household who meets the requirements for guardianship (Article 3), or if harm or damage is caused to the child (Article 4), or if any of the conditions specified in Article 13 are lost, or if a spouse is imprisoned or sentenced to imprisonment due to a criminal case related to honor or integrity (Article 6). Additionally, if the guardian is unable to fulfill their obligations towards the child (Article 7), or if the guardian has been absent for an extended period and the committee has deemed it so (Article 8), or if the guardian requests to relinquish custody (Article 9)."
What should be done with the regulation after it is published?,املادة (25) تنشر هذه الالئحة في الجريدةالرسمية ويعمل بها من اليوم التالي لتاريخ نشرها.,"The regulation should be published in the official gazette and implemented from the next day after its publication, as stated in Article 25."
